setting,backbone,dataset,grid_index,mAP,topk,tau,lam_min,lam_max,n_iter
CLIP_L14_ntu,CLIP_L14,ntu,12,0.6368711941958679,7,0.1,0.0,0.5,2
CLIP_L14_ntu,CLIP_L14,ntu,13,0.6344897859529969,7,0.1,0.0,0.7,2
CLIP_L14_ntu,CLIP_L14,ntu,14,0.6276997405242195,7,0.1,0.0,0.9,2
CLIP_L14_ntu,CLIP_L14,ntu,15,0.6384457665610579,7,0.1,0.1,0.5,2
CLIP_L14_ntu,CLIP_L14,ntu,16,0.6345027239610307,7,0.1,0.1,0.7,2
CLIP_L14_ntu,CLIP_L14,ntu,17,0.6273908363849746,7,0.1,0.1,0.9,2
CLIP_L14_ntu,CLIP_L14,ntu,18,0.637061562136331,7,0.2,0.0,0.5,2
CLIP_L14_ntu,CLIP_L14,ntu,19,0.6298657948603589,7,0.2,0.0,0.7,2
CLIP_L14_ntu,CLIP_L14,ntu,20,0.6172064590737505,7,0.2,0.0,0.9,2
CLIP_L14_ntu,CLIP_L14,ntu,21,0.6347698637861937,7,0.2,0.1,0.5,2
CLIP_L14_ntu,CLIP_L14,ntu,22,0.6281703609409923,7,0.2,0.1,0.7,2
CLIP_L14_ntu,CLIP_L14,ntu,23,0.6155899662064408,7,0.2,0.1,0.9,2
CLIP_L14_ntu,CLIP_L14,ntu,24,0.631911203579264,10,0.1,0.0,0.5,2
CLIP_L14_ntu,CLIP_L14,ntu,25,0.6287751953654149,10,0.1,0.0,0.7,2
CLIP_L14_ntu,CLIP_L14,ntu,26,0.6107211809751362,10,0.1,0.0,0.9,2
CLIP_L14_ntu,CLIP_L14,ntu,27,0.6315098212424131,10,0.1,0.1,0.5,2
CLIP_L14_ntu,CLIP_L14,ntu,28,0.6254001551164398,10,0.1,0.1,0.7,2
CLIP_L14_ntu,CLIP_L14,ntu,29,0.610710475877705,10,0.1,0.1,0.9,2
CLIP_L14_ntu,CLIP_L14,ntu,30,0.6266240417359961,10,0.2,0.0,0.5,2
CLIP_L14_ntu,CLIP_L14,ntu,31,0.611973978840812,10,0.2,0.0,0.7,2
CLIP_L14_ntu,CLIP_L14,ntu,32,0.5943272732996404,10,0.2,0.0,0.9,2
CLIP_L14_ntu,CLIP_L14,ntu,33,0.6270031849044514,10,0.2,0.1,0.5,2
CLIP_L14_ntu,CLIP_L14,ntu,34,0.6115864986436278,10,0.2,0.1,0.7,2
CLIP_L14_ntu,CLIP_L14,ntu,35,0.5951758865330997,10,0.2,0.1,0.9,2
CLIP_L14_ntu,CLIP_L14,ntu,36,0.6172188589261253,15,0.1,0.0,0.5,2
CLIP_L14_ntu,CLIP_L14,ntu,37,0.6029606793655945,15,0.1,0.0,0.7,2
CLIP_L14_ntu,CLIP_L14,ntu,38,0.5729225298332274,15,0.1,0.0,0.9,2
CLIP_L14_ntu,CLIP_L14,ntu,39,0.6168605760261052,15,0.1,0.1,0.5,2
CLIP_L14_ntu,CLIP_L14,ntu,40,0.6034281085253267,15,0.1,0.1,0.7,2
CLIP_L14_ntu,CLIP_L14,ntu,41,0.5715364228889452,15,0.1,0.1,0.9,2
CLIP_L14_ntu,CLIP_L14,ntu,42,0.6062049207594534,15,0.2,0.0,0.5,2
CLIP_L14_ntu,CLIP_L14,ntu,43,0.5855485864827684,15,0.2,0.0,0.7,2
CLIP_L14_ntu,CLIP_L14,ntu,44,0.5390007691666253,15,0.2,0.0,0.9,2
CLIP_L14_ntu,CLIP_L14,ntu,45,0.6060546517420831,15,0.2,0.1,0.5,2
CLIP_L14_ntu,CLIP_L14,ntu,46,0.5850778131154133,15,0.2,0.1,0.7,2
CLIP_L14_ntu,CLIP_L14,ntu,47,0.5363506571253874,15,0.2,0.1,0.9,2
DINOv2_abo,DINOv2,abo,0,0.6688624712773232,5,0.1,0.0,0.5,2
DINOv2_abo,DINOv2,abo,1,0.672801503667103,5,0.1,0.0,0.7,2
DINOv2_abo,DINOv2,abo,2,0.6690369608415516,5,0.1,0.0,0.9,2
DINOv2_abo,DINOv2,abo,3,0.6708155692634123,5,0.1,0.1,0.5,2
DINOv2_abo,DINOv2,abo,4,0.6719944253160254,5,0.1,0.1,0.7,2
DINOv2_abo,DINOv2,abo,5,0.6660548176669153,5,0.1,0.1,0.9,2
DINOv2_abo,DINOv2,abo,6,0.6739394778514879,5,0.2,0.0,0.5,2
DINOv2_abo,DINOv2,abo,7,0.6763183035409851,5,0.2,0.0,0.7,2
DINOv2_abo,DINOv2,abo,8,0.6716968267453757,5,0.2,0.0,0.9,2
DINOv2_abo,DINOv2,abo,9,0.6758672287445487,5,0.2,0.1,0.5,2
DINOv2_abo,DINOv2,abo,10,0.6756403576685204,5,0.2,0.1,0.7,2
DINOv2_abo,DINOv2,abo,11,0.6696867584013313,5,0.2,0.1,0.9,2
DINOv2_abo,DINOv2,abo,12,0.6679065467816244,7,0.1,0.0,0.5,2
DINOv2_abo,DINOv2,abo,13,0.672323245447825,7,0.1,0.0,0.7,2
DINOv2_abo,DINOv2,abo,14,0.6718390411879663,7,0.1,0.0,0.9,2
DINOv2_abo,DINOv2,abo,15,0.6710244150952726,7,0.1,0.1,0.5,2
DINOv2_abo,DINOv2,abo,16,0.6735541532427649,7,0.1,0.1,0.7,2
DINOv2_abo,DINOv2,abo,17,0.6709450399812653,7,0.1,0.1,0.9,2
DINOv2_abo,DINOv2,abo,18,0.671038417617063,7,0.2,0.0,0.5,2
DINOv2_abo,DINOv2,abo,19,0.6753477566524564,7,0.2,0.0,0.7,2
DINOv2_abo,DINOv2,abo,20,0.6718780835251241,7,0.2,0.0,0.9,2
DINOv2_abo,DINOv2,abo,21,0.674255420635798,7,0.2,0.1,0.5,2
DINOv2_abo,DINOv2,abo,22,0.676013200436551,7,0.2,0.1,0.7,2
DINOv2_abo,DINOv2,abo,23,0.6716293100099349,7,0.2,0.1,0.9,2
DINOv2_abo,DINOv2,abo,24,0.6668025051713196,10,0.1,0.0,0.5,2
DINOv2_abo,DINOv2,abo,25,0.672694394478556,10,0.1,0.0,0.7,2
DINOv2_abo,DINOv2,abo,26,0.673730435674449,10,0.1,0.0,0.9,2
DINOv2_abo,DINOv2,abo,27,0.6705855917355737,10,0.1,0.1,0.5,2
DINOv2_abo,DINOv2,abo,28,0.674500797846254,10,0.1,0.1,0.7,2
DINOv2_abo,DINOv2,abo,29,0.6739709770562414,10,0.1,0.1,0.9,2
DINOv2_abo,DINOv2,abo,30,0.6689487348099922,10,0.2,0.0,0.5,2
DINOv2_abo,DINOv2,abo,31,0.6755239920129383,10,0.2,0.0,0.7,2
DINOv2_abo,DINOv2,abo,32,0.6748600828621056,10,0.2,0.0,0.9,2
DINOv2_abo,DINOv2,abo,33,0.6736303677920192,10,0.2,0.1,0.5,2
DINOv2_abo,DINOv2,abo,34,0.677148696199535,10,0.2,0.1,0.7,2
DINOv2_abo,DINOv2,abo,35,0.6750446327515337,10,0.2,0.1,0.9,2
DINOv2_abo,DINOv2,abo,36,0.6646669544860438,15,0.1,0.0,0.5,2
DINOv2_abo,DINOv2,abo,37,0.6722550467968317,15,0.1,0.0,0.7,2
DINOv2_abo,DINOv2,abo,38,0.675049538389474,15,0.1,0.0,0.9,2
DINOv2_abo,DINOv2,abo,39,0.6695962914199874,15,0.1,0.1,0.5,2
DINOv2_abo,DINOv2,abo,40,0.6753854284890211,15,0.1,0.1,0.7,2
DINOv2_abo,DINOv2,abo,41,0.6762992539209529,15,0.1,0.1,0.9,2
DINOv2_abo,DINOv2,abo,42,0.6626463778314945,15,0.2,0.0,0.5,2
DINOv2_abo,DINOv2,abo,43,0.6723540205646141,15,0.2,0.0,0.7,2
DINOv2_abo,DINOv2,abo,44,0.6772620628421716,15,0.2,0.0,0.9,2
DINOv2_abo,DINOv2,abo,45,0.6705817302599982,15,0.2,0.1,0.5,2
DINOv2_abo,DINOv2,abo,46,0.6775558419831663,15,0.2,0.1,0.7,2
DINOv2_abo,DINOv2,abo,47,0.6794959618862683,15,0.2,0.1,0.9,2
DINOv2_esb,DINOv2,esb,0,0.6121908065717278,5,0.1,0.0,0.5,2
DINOv2_esb,DINOv2,esb,1,0.6108354490442501,5,0.1,0.0,0.7,2
DINOv2_esb,DINOv2,esb,2,0.6069422365067016,5,0.1,0.0,0.9,2
DINOv2_esb,DINOv2,esb,3,0.6127908303038867,5,0.1,0.1,0.5,2
DINOv2_esb,DINOv2,esb,4,0.6088708928497736,5,0.1,0.1,0.7,2
DINOv2_esb,DINOv2,esb,5,0.6059001569564818,5,0.1,0.1,0.9,2
DINOv2_esb,DINOv2,esb,6,0.6221985646618483,5,0.2,0.0,0.5,2
DINOv2_esb,DINOv2,esb,7,0.6241169216445098,5,0.2,0.0,0.7,2
DINOv2_esb,DINOv2,esb,8,0.6250539956941324,5,0.2,0.0,0.9,2
DINOv2_esb,DINOv2,esb,9,0.6230377622203874,5,0.2,0.1,0.5,2
DINOv2_esb,DINOv2,esb,10,0.6242406143755078,5,0.2,0.1,0.7,2
DINOv2_esb,DINOv2,esb,11,0.6250574799242155,5,0.2,0.1,0.9,2
DINOv2_esb,DINOv2,esb,12,0.6117710717014797,7,0.1,0.0,0.5,2
DINOv2_esb,DINOv2,esb,13,0.6095485709821735,7,0.1,0.0,0.7,2
DINOv2_esb,DINOv2,esb,14,0.6125655600345727,7,0.1,0.0,0.9,2
DINOv2_esb,DINOv2,esb,15,0.6131456536784656,7,0.1,0.1,0.5,2
DINOv2_esb,DINOv2,esb,16,0.6107333876146107,7,0.1,0.1,0.7,2
DINOv2_esb,DINOv2,esb,17,0.613019351305491,7,0.1,0.1,0.9,2
DINOv2_esb,DINOv2,esb,18,0.620697510657957,7,0.2,0.0,0.5,2
DINOv2_esb,DINOv2,esb,19,0.6218080954132951,7,0.2,0.0,0.7,2
DINOv2_esb,DINOv2,esb,20,0.616366723523966,7,0.2,0.0,0.9,2
DINOv2_esb,DINOv2,esb,21,0.6209053448554426,7,0.2,0.1,0.5,2
DINOv2_esb,DINOv2,esb,22,0.6230462990679932,7,0.2,0.1,0.7,2
DINOv2_esb,DINOv2,esb,23,0.6164934037610124,7,0.2,0.1,0.9,2
DINOv2_esb,DINOv2,esb,24,0.6106256046273497,10,0.1,0.0,0.5,2
DINOv2_esb,DINOv2,esb,25,0.6095131063471235,10,0.1,0.0,0.7,2
DINOv2_esb,DINOv2,esb,26,0.6114063172814481,10,0.1,0.0,0.9,2
DINOv2_esb,DINOv2,esb,27,0.6114081773542867,10,0.1,0.1,0.5,2
DINOv2_esb,DINOv2,esb,28,0.6101214169553195,10,0.1,0.1,0.7,2
DINOv2_esb,DINOv2,esb,29,0.6114359779141204,10,0.1,0.1,0.9,2
DINOv2_esb,DINOv2,esb,30,0.6165288872952561,10,0.2,0.0,0.5,2
DINOv2_esb,DINOv2,esb,31,0.6205514210797579,10,0.2,0.0,0.7,2
DINOv2_esb,DINOv2,esb,32,0.6180597143407274,10,0.2,0.0,0.9,2
DINOv2_esb,DINOv2,esb,33,0.6199480478614345,10,0.2,0.1,0.5,2
DINOv2_esb,DINOv2,esb,34,0.6231857186091538,10,0.2,0.1,0.7,2
DINOv2_esb,DINOv2,esb,35,0.6207667507028941,10,0.2,0.1,0.9,2
DINOv2_esb,DINOv2,esb,36,0.6084509072041364,15,0.1,0.0,0.5,2
DINOv2_esb,DINOv2,esb,37,0.6112452730715295,15,0.1,0.0,0.7,2
DINOv2_esb,DINOv2,esb,38,0.6083814231288116,15,0.1,0.0,0.9,2
DINOv2_esb,DINOv2,esb,39,0.6094356088248162,15,0.1,0.1,0.5,2
DINOv2_esb,DINOv2,esb,40,0.6118729567738117,15,0.1,0.1,0.7,2
DINOv2_esb,DINOv2,esb,41,0.6091740194919015,15,0.1,0.1,0.9,2
DINOv2_esb,DINOv2,esb,42,0.6117484508712328,15,0.2,0.0,0.5,2
DINOv2_esb,DINOv2,esb,43,0.6120576803258291,15,0.2,0.0,0.7,2
DINOv2_esb,DINOv2,esb,44,0.6031471162696233,15,0.2,0.0,0.9,2
DINOv2_esb,DINOv2,esb,45,0.6137749199604194,15,0.2,0.1,0.5,2
