setting,backbone,dataset,batch_size,seed,num_batches,top100_overlap_vs_seed0,mAP,NDCG@100,ANMRR
OpenCLIP_L14_abo,OpenCLIP_L14,abo,10,0,9,1.0,0.6807256094527899,0.5845399330455774,0.34276730730199706
OpenCLIP_L14_abo,OpenCLIP_L14,abo,10,1,9,0.7594117647058823,0.6679220760015626,0.5779398544919154,0.35667248839631277
OpenCLIP_L14_abo,OpenCLIP_L14,abo,10,2,9,0.7431764705882352,0.6821598104038064,0.59459628427293,0.33835424817589793
OpenCLIP_L14_abo,OpenCLIP_L14,abo,10,3,9,0.7634117647058826,0.6768778701114035,0.5913707253388604,0.3480396000419281
OpenCLIP_L14_abo,OpenCLIP_L14,abo,10,4,9,0.7534117647058824,0.6750528498197439,0.5849324876198124,0.344470098380218
OpenCLIP_L14_abo,OpenCLIP_L14,abo,full,0,1,1.0,0.7046968741438364,0.5889731358125629,0.31928912542925575
OpenCLIP_L14_esb,OpenCLIP_L14,esb,single,0,120,1.0,0.6273425217135883,0.25230147367329037,0.4146296645041954
OpenCLIP_L14_esb,OpenCLIP_L14,esb,5,0,24,1.0,0.6403209019031817,0.2560809256718833,0.4029657102461595
OpenCLIP_L14_esb,OpenCLIP_L14,esb,5,1,24,0.7969166666666666,0.6494850331505719,0.25859458610136776,0.401053055309472
OpenCLIP_L14_esb,OpenCLIP_L14,esb,5,2,24,0.8153333333333334,0.6411452589483612,0.25729264354712883,0.40963947650374366
OpenCLIP_L14_esb,OpenCLIP_L14,esb,5,3,24,0.8158333333333333,0.641685423454609,0.2569839254275091,0.3988863368035993
OpenCLIP_L14_esb,OpenCLIP_L14,esb,5,4,24,0.8079166666666667,0.6478108761012876,0.25665827701543964,0.39754903774973915
OpenCLIP_L14_esb,OpenCLIP_L14,esb,10,0,12,1.0,0.6424035770311876,0.256245693973895,0.40497449037740446
OpenCLIP_L14_esb,OpenCLIP_L14,esb,10,1,12,0.76225,0.635176585148662,0.2559805707069212,0.4071137638623498
OpenCLIP_L14_esb,OpenCLIP_L14,esb,10,2,12,0.7673333333333333,0.64256023633022,0.2588040456020473,0.40574183068688885
OpenCLIP_L14_esb,OpenCLIP_L14,esb,10,3,12,0.7726666666666666,0.6390074046842585,0.2563290384661255,0.4118716939969352
OpenCLIP_L14_esb,OpenCLIP_L14,esb,10,4,12,0.7838333333333334,0.6510216130093696,0.2593968767157081,0.39443362092182926
OpenCLIP_L14_esb,OpenCLIP_L14,esb,full,0,1,1.0,0.6981456766147937,0.27097403724668656,0.35645637236577427
OpenCLIP_L14_mn40,OpenCLIP_L14,mn40,single,0,160,1.0,0.6900472483866849,0.7850724893110679,0.33738653348500464
OpenCLIP_L14_mn40,OpenCLIP_L14,mn40,5,0,32,1.0,0.7126210000011548,0.7966934260654559,0.3188164594686128
OpenCLIP_L14_mn40,OpenCLIP_L14,mn40,5,1,32,0.8691875,0.7127504504047673,0.7977128818653123,0.31685807189254256
OpenCLIP_L14_mn40,OpenCLIP_L14,mn40,5,2,32,0.8705,0.7104820442981034,0.7933747755406266,0.3201644245033618
OpenCLIP_L14_mn40,OpenCLIP_L14,mn40,5,3,32,0.8747499999999999,0.7152353322467304,0.7966396294919783,0.3145302933831323
OpenCLIP_L14_mn40,OpenCLIP_L14,mn40,5,4,32,0.8769375,0.7107954645199474,0.7938192194578431,0.3191423368224855
OpenCLIP_L14_mn40,OpenCLIP_L14,mn40,10,0,16,1.0,0.7160534583269127,0.7975749886036267,0.31524939657941536
OpenCLIP_L14_mn40,OpenCLIP_L14,mn40,10,1,16,0.845875,0.712388919270728,0.7970438481561379,0.31689949854400745
OpenCLIP_L14_mn40,OpenCLIP_L14,mn40,10,2,16,0.8556874999999999,0.7132760594429065,0.7968527134641644,0.31853098884864933
OpenCLIP_L14_mn40,OpenCLIP_L14,mn40,10,3,16,0.8542500000000001,0.718936125589645,0.7994080337082803,0.31314466860351803
OpenCLIP_L14_mn40,OpenCLIP_L14,mn40,10,4,16,0.8505625,0.7141767317810153,0.7962235276565466,0.3168083098533282
OpenCLIP_L14_mn40,OpenCLIP_L14,mn40,full,0,1,1.0,0.7608242306927641,0.8114536241604426,0.2707831455064794
OpenCLIP_L14_ntu,OpenCLIP_L14,ntu,single,0,270,1.0,0.6559815111357353,0.2826664897551603,0.3755368290253204
OpenCLIP_L14_ntu,OpenCLIP_L14,ntu,5,0,54,1.0,0.6555546061722436,0.2813698016019606,0.38340343139431915
OpenCLIP_L14_ntu,OpenCLIP_L14,ntu,5,1,54,0.8161111111111111,0.6565105803098241,0.2836627639356834,0.3790487465704002
OpenCLIP_L14_ntu,OpenCLIP_L14,ntu,5,2,54,0.809,0.659685775614823,0.2829794995323918,0.37556603947073347
OpenCLIP_L14_ntu,OpenCLIP_L14,ntu,5,3,54,0.8145925925925925,0.6665688921531558,0.2848194124461355,0.3699055835900559
OpenCLIP_L14_ntu,OpenCLIP_L14,ntu,5,4,54,0.826037037037037,0.6564596603129694,0.2826542361257035,0.38045649025211514
OpenCLIP_L14_ntu,OpenCLIP_L14,ntu,10,0,27,1.0,0.6508711233015796,0.28090078040614247,0.38473628330503434
OpenCLIP_L14_ntu,OpenCLIP_L14,ntu,10,1,27,0.7684444444444445,0.6548001177131932,0.2827077977957193,0.38189086153923774
OpenCLIP_L14_ntu,OpenCLIP_L14,ntu,10,2,27,0.7763703703703704,0.6518488114129535,0.28109441216678904,0.38245698190990723
OpenCLIP_L14_ntu,OpenCLIP_L14,ntu,10,3,27,0.7694444444444445,0.6558263984364506,0.28226206602327825,0.3827200667319772
OpenCLIP_L14_ntu,OpenCLIP_L14,ntu,10,4,27,0.7753333333333332,0.6537867835187833,0.2815997588091785,0.3844040730978981
OpenCLIP_L14_ntu,OpenCLIP_L14,ntu,full,0,1,1.0,0.7008584664549247,0.2918075673108734,0.33150005271329136
